loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.4716159820556642,0.81640625,8e-05,2.5385474979877474,3136.0,0.42215076088905334,0.425531914893617,5,,,,,
2.1634159088134766,0.8515625,0.00018,2.2294879496097564,6245.0,0.6034656316041946,0.851063829787234,10,,,,,
1.0886581420898438,0.23046875,0.00019795299412524945,1.2086399260320162,9305.0,0.7858528683060094,1.2553191489361701,15,,,,,
0.8315919876098633,0.236328125,0.00018978045395707418,0.8210451096296311,12541.0,0.8320202142000198,1.6808510638297873,20,,,,,
0.6464987754821777,0.177734375,0.0001758758122692791,0.6574729743756746,15514.0,0.8623342012104235,2.0851063829787235,25,,,,,
0.6032504558563232,0.1865234375,0.00015712682150947923,0.6583521947264671,18587.0,0.8683175504207611,2.5106382978723403,30,,,,,
0.6787214756011963,0.1708984375,0.00013473052528448201,0.6868165910243988,21897.0,0.8596052885055542,2.9361702127659575,35,,,,,
0.5042882442474366,0.1552734375,0.00011011683219874323,0.5798173829128868,24910.0,0.8919888389737982,3.3404255319148937,40,,,,,
0.5581244468688965,0.189453125,8.485722224954237e-05,0.5832648664712906,28065.0,0.8805471777915954,3.7659574468085104,45,,,,,
0.4812037944793701,0.2314453125,6.0564414488668165e-05,0.49459737225582723,31015.0,0.8904945128842404,4.170212765957447,50,,,,,
0.4697723388671875,0.185546875,3.878940174523371e-05,0.5388594746589661,34134.0,0.8979239135980606,4.595744680851064,55,,,,,
0.45240139961242676,0.26953125,2.092242630623016e-05,0.532508561485692,37230.0,0.9017778101720308,5.0,60,,,,,
0.40941286087036133,0.2060546875,8.10421883797694e-06,0.49653518497943877,40334.0,0.9066153287887573,5.425531914893617,65,,,,,
0.4469029426574707,0.2041015625,1.1531675671888619e-06,0.508337713778019,43594.0,0.9026440620422364,5.851063829787234,70,,,,,
,,,0.4601775365216391,44676.0,0.9183774164744786,6.0,72,390.1873,1.445,0.185,385964809512960.0,0.8993087146017287
